head,relation,tail
2184,1,2882
195,3,6701
6693,4,6087
641,3,6597
692,1,2957
2579,0,4160
467,3,6464
2308,1,2955
647,3,6307
2579,0,4336
2579,0,4861
1534,1,3112
641,3,6265
1970,0,7322
1058,0,7462
556,3,6746
2466,1,2923
6927,4,22
580,3,6185
3082,2,406
337,3,6338
729,1,2894
872,0,7057
6681,4,6016
2579,0,4363
195,3,6528
2684,1,2914
1174,0,5902
2050,0,6989
593,3,6483
6205,4,54
1512,0,7126
2579,0,5084
2479,1,3107
2579,0,3874
2579,0,3575
2848,2,293
1039,0,6015
1917,1,2894
199,3,6833
2579,0,4295
1137,0,5902
933,0,7358
217,3,6392
516,3,6312
474,3,6192
832,1,3112
2579,0,4136
199,3,6367
140,3,6471
494,3,6850
278,3,6675
1024,0,6080
3041,2,397
1121,0,7295
6903,4,3244
100,3,6304
2274,0,6073
359,3,6729
1588,0,14
1904,1,2880
1541,0,6158
185,3,6215
2394,0,7378
6547,4,3228
6524,4,7108
2140,1,2979
1667,0,6075
6963,4,6087
151,3,6767
2059,1,3092
411,3,6533
2599,1,2848
2559,0,7386
340,3,6677
2579,0,5171
262,3,6186
1957,0,7343
97,3,6479
2952,2,334
564,3,6238
409,3,6192
6713,4,54
2579,0,4500
570,3,6249
1353,0,3272
610,3,6323
1805,1,2894
131,3,6409
2579,0,5591
1350,1,2849
1144,0,5902
2881,2,168
532,3,6942
1663,1,3007
2709,2,363
1944,1,2856
1828,0,5953
235,3,6595
2579,0,5656
523,3,6357
634,3,6900
2579,0,5186
486,3,6637
241,3,6554
199,3,6441
2579,0,4670
1028,1,2859
2579,0,5132
641,3,6634
2579,0,3529
158,3,6840
1149,0,5904
739,1,3092
2015,1,2963
125,3,6578
2579,0,5218
2494,0,6077
6506,4,3364
1083,0,3139
1051,1,2822
6780,4,6037
488,3,6671
259,3,6505
837,1,3092
6686,4,3244
217,3,6260
151,3,6380
476,3,6195
181,3,6483
6940,4,3223
2356,1,3087
306,3,6312
1879,1,2848
859,0,7001
191,3,6786
278,3,6950
1870,1,2873
483,3,6387
2579,0,4876
2579,0,4739
2272,0,7401
810,1,3087
2579,0,5090
6875,4,6030
2367,1,3064
6658,4,7108
2549,1,2735
1262,1,3092
2579,0,3530
6625,4,7106
539,3,6405
2579,0,5402
6316,4,6037
2879,2,168
314,3,6375
1978,0,5909
399,3,6518
3001,2,338
217,3,6183
3041,2,137
1987,1,2947
2868,2,484
6624,4,7108
2044,1,2979
605,3,6944
568,3,6263
268,3,6683
573,3,6182
6632,4,6087
565,3,6357
880,1,3112
2786,2,608
2579,0,4256
2579,0,3464
1973,0,7278
2579,0,3969
584,3,6330
352,3,6744
174,3,6380
295,3,6671
2579,0,5496
2795,2,635
472,3,6764
181,3,6292
160,3,6751
1842,1,2848
2191,1,2884
851,1,3005
437,3,6610
1092,0,3186
2579,0,5699
3045,2,295
2579,0,3832
555,3,6554
258,3,6526
1109,1,2848
637,3,6430
3049,2,363
248,3,6554
6255,4,6087
409,3,6618
650,3,6268
578,3,6730
1966,1,2713
1452,0,5990
332,3,6221
573,3,6755
641,3,6624
1508,1,3105
2579,0,4130
616,3,6920
404,3,6687
719,1,3092
2579,0,5142
102,3,6374
555,3,6483
1224,1,2871
3038,2,168
3055,2,367
2847,2,133
254,3,6201
228,3,6286
2579,0,4305
6844,4,6030
2579,0,5616
2579,0,4386
416,3,6942
911,1,3112
6715,4,3183
474,3,6586
647,3,6286
153,3,6725
1128,1,2704
1187,0,3265
1857,1,2880
2960,2,329
1387,0,3308
2410,0,7416
1132,1,2883
916,1,3112
2111,0,7129
1095,1,2894
2696,2,644
2579,0,5611
2579,0,5595
2579,0,3798
2579,0,3441
261,3,6941
3090,2,398
1789,0,5993
1918,1,2880
2296,0,6076
614,3,6718
732,0,3143
568,3,6899
6888,4,6139
6267,4,3244
212,3,6736
2295,0,7081
2579,0,4214
626,3,6966
2332,1,2856
6671,4,7107
1378,1,2884
409,3,6358
393,3,6700
726,0,3337
111,3,6923
2579,0,3949
1417,1,2894
2579,0,5737
2305,0,5937
655,3,6283
2579,0,4568
296,3,6749
2579,0,5356
988,0,3264
650,3,6343
1209,1,2735
2484,0,3123
785,0,3298
2886,2,574
2579,0,5074
6717,4,5917
620,3,6944
2977,2,616
6709,4,6037
342,3,6859
556,3,6483
2291,0,7469
585,3,6435
1294,0,3133
2778,2,187
226,3,6578
2311,0,5937
2932,2,269
532,3,6760
1742,0,7293
2634,1,3062
460,3,6319
2302,1,2984
2880,2,490
1388,0,6056
2579,0,4029
194,3,6718
532,3,6956
2579,0,3620
2579,0,3861
235,3,6236
276,3,6767
2829,2,348
1262,0,3309
2579,0,4624
2579,0,3474
6605,4,54
6170,4,6016
207,3,6507
1731,0,3197
493,3,6681
936,0,7389
2164,1,2884
242,3,6284
2579,0,4150
2063,0,27
2579,0,3638
503,3,6961
2605,1,2882
1990,0,3384
2579,0,4043
601,3,6957
2273,0,6073
2163,0,7402
650,3,6339
510,3,6215
6935,4,6090
191,3,6378
1752,0,20
2579,0,5671
2579,0,4376
573,3,6595
253,3,6442
1376,1,3088
2579,0,4173
2688,0,7467
6962,4,6087
6408,4,6006
2103,1,2978
2329,1,2894
1465,0,7364
2579,0,5875
2196,0,7216
2296,0,6071
484,3,6802
2053,1,3092
334,3,6860
459,3,6464
655,3,6677
554,3,6970
2579,0,4814
171,3,6956
1930,1,2882
2579,0,4009
451,3,6729
1469,1,2884
453,3,6559
242,3,6482
494,3,6357
321,3,6958
485,3,6889
2049,1,3064
221,3,6693
2881,2,598
2729,2,113
306,3,6746
3041,2,180
2314,0,5937
6408,4,5905
2704,2,386
6902,4,5918
2454,1,2847
2579,0,3855
237,3,6920
263,3,6751
1627,1,3011
265,3,6380
1093,0,7383
6908,4,6030
567,3,6605
2975,2,523
2579,0,5796
1587,1,3064
568,3,6180
2307,0,5937
1522,0,7187
496,3,6509
2579,0,3657
2579,0,3714
6342,4,5917
2579,0,3660
1920,1,2894
2579,0,5578
202,3,6433
2641,0,3381
803,0,6132
1540,0,6144
2292,0,7308
6490,4,48
2601,0,7196
1115,1,3064
1220,0,6071
2471,1,3092
2181,0,3187
2579,0,4189
6338,4,5917
390,3,6464
578,3,6410
370,3,6911
201,3,6328
720,1,3092
511,3,6644
2579,0,5691
1196,1,2873
2579,0,4031
2579,0,4729
1310,0,7076
3030,2,600
2579,0,4003
1422,1,2880
387,3,6842
2882,2,221
2579,0,5292
1295,1,2881
2579,0,4367
1370,0,3238
1791,1,2894
1718,1,2916
120,3,6937
2572,0,7352
2579,0,5219
1528,0,6012
2856,2,569
1836,1,2880
593,3,6609
715,1,3092
163,3,6764
712,1,3092
2579,0,3580
466,3,6399
6408,4,54
2579,0,4905
501,3,6698
410,3,6582
2825,2,464
1223,0,6073
172,3,6935
2579,0,5571
3038,2,451
2579,0,5615
459,3,6897
6702,4,3183
339,3,6795
1467,0,7364
212,3,6445
2579,0,3717
2579,0,5789
492,3,6422
2450,0,7370
1951,1,3100
2127,1,2921
378,3,6507
2579,0,5353
178,3,6172
178,3,6181
599,3,6476
455,3,6745
2545,1,3064
1446,1,2880
383,3,6464
474,3,6964
6915,4,54
252,3,6289
459,3,6497
626,3,6259
189,3,6455
1715,0,7249
458,3,6897
2579,0,5619
235,3,6180
848,1,2979
2579,0,4135
2460,1,2712
2927,2,405
6525,4,7109
2579,0,5388
2579,1,3065
2104,0,3355
2579,0,5688
2579,0,4140
182,3,6610
2579,0,4719
112,3,6367
1278,1,3055
6650,4,6139
184,3,6464
2579,0,4698
335,3,6675
2579,0,5800
615,3,6344
2286,1,2960
608,3,6291
2848,2,281
296,3,6422
615,3,6760
3038,2,200
6603,4,54
584,3,6780
6170,4,7109
6434,4,6037
516,3,6893
2579,0,5129
2579,0,4093
1849,1,2880
1914,0,5972
336,3,6616
2579,0,3824
1747,1,3064
2614,1,3088
2579,0,4799
2228,0,7364
1219,0,6077
1891,1,2894
1726,1,3064
732,1,3092
2839,2,533
605,3,6483
1275,1,3064
3049,2,643
1427,1,2873
144,3,6716
1590,0,6099
6804,4,54
467,3,6264
483,3,6782
728,1,2959
2579,0,3594
689,0,3147
486,3,6634
2803,2,120
641,3,6615
2528,0,3124
164,3,6330
647,3,6292
640,3,6817
6903,4,3223
2201,1,2848
339,3,6548
1492,1,3062
1148,1,2704
2847,2,107
2848,2,291
6331,4,3225
460,3,6495
513,3,6236
2373,0,7471
811,0,3264
639,3,6456
199,3,6829
211,3,6505
2579,0,5557
2579,0,3622
368,3,6912
2579,0,3973
139,3,6913
641,3,6390
2579,0,5474
2258,0,6991
453,3,6867
6518,4,48
6635,4,3145
2323,0,5937
729,0,3128
216,3,6468
925,1,3112
2374,1,2988
6451,4,71
2570,0,7334
567,3,6399
510,3,6739
1247,1,2881
409,3,6898
240,3,6375
2579,0,5612
2367,0,7087
1057,1,3060
1216,1,2929
149,3,6580
98,3,6625
6328,4,3223
564,3,6287
1140,1,2951
2579,0,3935
3076,2,472
169,3,6677
444,3,6744
1793,0,5993
409,3,6900
2579,0,4127
343,3,6274
2579,0,4486
2038,1,3064
2287,1,2942
1999,1,2923
248,3,6439
2053,0,6102
451,3,6265
1246,1,2881
6213,4,37
2579,0,3610
6175,4,7109
1032,0,7441
2164,0,72
639,3,6691
2579,0,5033
2157,1,2856
410,3,6748
506,3,6207
416,3,6760
399,3,6816
622,3,6538
1364,0,6050
641,3,6747
2579,0,4720
3047,2,168
921,1,3112
555,3,6482
382,3,6525
2408,1,2959
1106,0,3178
159,3,6764
253,3,6180
1225,1,3090
593,3,6595
2119,1,2979
622,3,6511
2095,0,3369
657,3,6769
2579,0,4613
2884,2,534
2579,0,3587
616,3,6964
1176,1,2704
1977,0,5910
2579,0,5324
2579,0,4374
2579,0,5730
6445,4,7106
2579,0,4304
1738,1,3060
172,3,6439
306,3,6827
1164,0,5904
2579,0,4193
6730,4,54
1269,0,5929
1793,1,2894
6538,4,3183
1272,1,3055
6534,4,3183
2847,2,180
375,3,6766
3018,2,401
542,3,6858
270,3,6663
474,3,6853
1537,1,3087
178,3,6536
351,3,6897
616,3,6956
818,1,2934
588,3,6464
2468,0,5939
6201,4,3183
505,3,6705
279,3,6764
226,3,6904
573,3,6780
235,3,6920
6958,4,54
974,1,2735
6523,4,54
2328,0,5937
383,3,6652
503,3,6501
2579,0,5444
3049,2,132
616,3,6192
909,1,3064
1412,0,5990
2370,1,2945
251,3,6285
2207,1,3047
420,3,6585
2579,0,4469
2579,0,4537
2579,0,4126
2646,1,3088
340,3,6338
2579,0,5248
503,3,6634
584,3,6919
303,3,6185
2579,0,5873
985,1,3062
2462,0,3150
605,3,6482
568,3,6572
2579,0,4220
3105,2,635
2473,1,2839
6634,4,3364
769,0,3315
1337,1,2957
1302,1,2847
626,3,6859
1233,1,3064
1240,1,3065
1686,0,6028
1954,1,3062
388,3,6908
1714,0,6078
6915,4,5918
2579,0,5214
263,3,6682
2035,0,3354
1420,1,2880
3055,2,181
183,3,6610
2579,0,5125
155,3,6857
1151,0,5902
359,3,6771
259,3,6594
483,3,6654
2275,1,2713
1887,0,6001
1941,1,2840
105,3,6652
679,0,3287
1912,0,5981
131,3,6482
2579,0,3774
1010,0,3371
415,3,6718
479,3,6180
1969,1,3011
3076,2,483
1696,1,3087
1314,1,2856
608,3,6323
2277,0,6073
2544,0,17
2704,2,137
766,0,3169
782,0,5907
1499,1,2979
2475,1,2923
170,3,6796
2579,0,5016
2579,0,4780
1536,0,7003
159,3,6819
460,3,6510
794,1,3011
251,3,6439
375,3,6380
409,3,6706
2579,0,5242
1667,0,6083
504,3,6740
159,3,6434
1049,1,3092
809,0,3264
2469,1,3064
647,3,6649
321,3,6251
507,3,6623
513,3,6920
2310,0,5937
573,3,6920
2150,1,3011
330,3,6286
519,3,6292
6523,4,7109
278,3,6729
2674,1,2923
2579,0,3513
164,3,6400
6352,4,7108
1951,0,6165
999,0,3264
234,3,6465
222,3,6210
393,3,6482
2592,0,7462
460,3,6507
2954,2,598
156,3,6520
446,3,6955
2029,1,3011
612,3,6519
605,3,6554
2579,0,4547
2579,0,4416
1759,0,5992
6350,4,47
1998,1,2970
883,1,2979
2579,0,3556
523,3,6599
437,3,6265
1517,0,7121
1197,0,3265
6401,4,5905
3110,2,635
1748,1,3092
997,1,2709
382,3,6509
618,3,6440
1275,0,7321
6447,4,71
2579,0,3903
551,3,6710
537,3,6710
1288,0,6071
1372,1,3088
2869,2,429
615,3,6495
6782,4,6037
3016,2,210
6708,4,5905
142,3,6799
2579,0,5632
2205,0,3325
2286,0,3353
226,3,6357
2504,0,3123
2579,0,5835
443,3,6584
2579,0,4428
2054,1,3092
2579,0,5477
624,3,6286
1161,0,5904
479,3,6572
374,3,6696
2152,1,3041
1560,0,6121
2658,1,2951
111,3,6676
645,3,6375
2579,0,5442
217,3,6434
2579,0,5814
2977,2,617
267,3,6675
1663,1,3105
2579,0,4366
382,3,6611
175,3,6213
226,3,6680
419,3,6948
6910,4,6030
221,3,6856
1873,1,2880
2579,0,5748
1788,0,5990
308,3,6867
306,3,6893
1868,1,2880
296,3,6673
618,3,6930
616,3,6196
485,3,6414
1166,0,5904
207,3,6511
354,3,6533
1486,1,2735
339,3,6793
584,3,6682
134,3,6285
976,1,3062
6941,4,54
2579,0,3783
1050,1,3064
6309,4,71
485,3,6242
2800,2,94
6715,4,3362
182,3,6867
765,1,2942
603,3,6838
2558,1,3064
2579,0,4586
193,3,6918
1392,1,3087
442,3,6935
1159,1,2704
468,3,6897
2747,2,593
222,3,6235
337,3,6617
2916,2,336
202,3,6371
6381,4,6037
278,3,6207
2895,2,583
192,3,6347
6200,4,5905
340,3,6766
1274,0,3206
120,3,6580
1732,1,2692
601,3,6195
2579,0,3477
3038,2,331
2579,0,4576
2579,0,3685
6409,4,3223
1038,1,3087
2579,0,5083
2198,0,7216
1921,1,2882
2149,0,7430
639,3,6695
951,0,3290
2419,1,3088
6750,4,3364
1471,1,2880
183,3,6611
352,3,6703
494,3,6681
506,3,6729
2579,0,4417
1985,0,23
2708,2,94
2579,0,4548
2579,0,5383
1604,0,3405
1480,0,7364
340,3,6661
6369,4,6107
841,1,3112
2847,2,644
499,3,6401
2230,0,7364
1062,0,3266
3099,2,484
1816,0,6005
104,3,6375
518,3,6326
2193,1,3100
1172,1,2942
854,0,43
6510,4,5917
2733,2,555
382,3,6496
6521,4,3223
1527,1,3092
643,3,6292
155,3,6334
2579,0,5838
2579,0,5824
1080,0,7269
1694,0,7147
2870,2,450
6499,4,3244
206,3,6221
171,3,6438
180,3,6286
2579,0,4954
566,3,6415
2891,2,307
657,3,6768
969,1,2842
485,3,6950
184,3,6319
2956,2,410
451,3,6825
1418,0,5999
2848,2,287
2847,2,631
2545,0,7146
966,0,3264
340,3,6526
2302,0,5937
2579,0,4028
270,3,6563
657,3,6771
6659,4,6038
451,3,6716
166,3,6967
1804,0,5956
1072,0,6075
459,3,6509
618,3,6196
949,0,7389
278,3,6800
317,3,6467
649,3,6353
607,3,6290
2579,0,3802
2579,0,5172
2579,0,5105
591,3,6924
2579,0,5804
6684,4,5941
235,3,6358
6252,4,6089
2579,0,3929
873,1,3112
583,3,6381
2630,0,7100
6623,4,3244
1251,1,3049
1748,0,6064
2096,1,2856
443,3,6790
618,3,6561
1521,1,3092
364,3,6829
1783,0,5990
2579,0,5449
843,0,7065
6790,4,7107
2964,2,161
620,3,6935
2579,0,4166
2311,1,2884
816,1,2942
308,3,6525
2399,1,3107
6705,4,6087
6520,4,3229
1369,0,3166
149,3,6759
2273,0,6076
489,3,6780
2932,2,284
2579,0,4611
2579,0,3633
6173,4,7109
270,3,6464
1307,0,63
6769,4,37
2579,0,5254
98,3,6747
599,3,6195
6563,4,7108
2704,2,119
439,3,6405
120,3,6765
1298,0,3134
500,3,6422
1858,1,2880
2577,1,2856
2579,0,3994
6963,4,3223
1299,1,2856
291,3,6853
6957,4,6089
2579,0,5369
6752,4,5941
3019,2,274
1864,1,2880
204,3,6533
133,3,6479
355,3,6865
951,0,3293
1401,1,3092
6806,4,7108
2916,2,338
6309,4,6090
2579,0,4508
493,3,6561
2172,0,3286
922,0,7024
2579,0,5001
513,3,6964
677,1,2856
6266,4,6037
1722,0,3176
6450,4,7106
417,3,6665
2579,0,4487
527,3,6417
1377,0,7170
409,3,6527
162,3,6491
3034,2,269
1594,1,2856
507,3,6352
234,3,6726
268,3,6675
153,3,6640
2894,2,115
2579,0,4785
335,3,6661
6911,4,6030
3001,2,307
6187,4,3183
428,3,6594
6506,4,5917
1056,0,6985
2898,2,155
3047,2,207
6538,4,3228
2142,0,7426
142,3,6200
2579,0,5141
641,3,6799
535,3,6520
242,3,6286
6806,4,54
2579,0,5660
588,3,6511
1942,1,3055
272,3,6576
150,3,6956
1443,0,5961
2520,0,3123
2386,1,2984
3049,2,386
580,3,6259
2579,0,5274
2579,0,3953
791,1,3087
2579,0,5289
513,3,6963
335,3,6617
2243,1,2880
999,1,3084
568,3,6192
650,3,6210
1170,0,5904
485,3,6794
570,3,6553
257,3,6819
1349,1,2979
2579,0,3646
494,3,6175
2579,0,3944
2579,0,4483
6686,4,3183
2145,1,2805
6898,4,6016
2579,0,5053
112,3,6671
391,3,6866
336,3,6641
1542,0,7143
2579,0,5231
200,3,6400
97,3,6935
6688,4,6037
1866,1,2880
2937,2,153
1028,0,3117
616,3,6899
6558,4,3185
606,3,6819
1173,0,5902
2579,0,4731
296,3,6289
241,3,6284
2264,1,3105
2579,0,5247
557,3,6970
6248,4,7108
1066,1,3093
2482,1,2848
2102,1,3092
279,3,6767
709,1,3092
1237,0,3388
2579,0,3877
410,3,6485
226,3,6375
1544,1,3112
1766,0,5959
6962,4,3223
2821,2,635
600,3,6853
555,3,6479
204,3,6683
2579,0,3928
2881,2,523
516,3,6334
466,3,6502
1709,1,2918
514,3,6368
618,3,6359
2579,0,3866
1072,0,6070
2334,0,7389
183,3,6319
625,3,6262
2275,0,6071
6915,4,7108
104,3,6926
516,3,6589
2847,2,210
537,3,6355
2848,2,318
230,3,6285
2579,0,3570
6476,4,3228
258,3,6505
2042,1,3105
265,3,6764
334,3,6888
451,3,6406
2579,0,4041
2872,2,566
6490,4,5918
146,3,6951
2579,0,5522
2673,1,3064
334,3,6849
2579,0,4752
2579,0,4985
647,3,6504
2838,2,116
2579,0,3603
6328,4,6086
107,3,6439
166,3,6962
624,3,6944
441,3,6968
827,0,7364
2579,0,5435
3030,2,638
188,3,6251
1202,1,2929
6589,4,3244
581,3,6308
1805,0,5990
3019,2,583
185,3,6867
164,3,6281
104,3,6504
507,3,6441
1454,1,2880
1465,1,2873
1064,1,2906
207,3,6509
519,3,6652
686,0,6063
382,3,6508
2579,0,5605
467,3,6195
2347,0,3267
2829,2,116
2579,0,4108
2579,0,5714
6815,4,6030
270,3,6655
2152,0,7420
428,3,6592
216,3,6526
2298,0,6071
6757,4,3183
251,3,6483
1787,0,5944
2579,0,5681
2822,2,357
178,3,6515
338,3,6511
2579,0,3997
2579,0,5729
1730,0,3197
296,3,6238
340,3,6577
1493,1,3087
2579,0,4703
650,3,6201
2583,1,2951
506,3,6606
166,3,6556
2924,2,633
6901,4,3244
2579,0,5815
2284,1,2947
2579,0,4682
2838,2,629
2579,0,5811
2579,0,5834
1616,0,3408
409,3,6281
1989,1,3029
655,3,6552
2090,0,7266
418,3,6882
1069,0,1
6568,4,71
400,3,6797
886,1,3112
1255,0,9
132,3,6292
306,3,6192
2970,2,135
217,3,6393
2080,0,7346
277,3,6235
2362,1,2871
6626,4,7106
642,3,6649
457,3,6605
1283,1,2819
909,0,7002
439,3,6797
375,3,6434
264,3,6767
6267,4,5918
2678,1,2986
253,3,6325
276,3,6378
6623,4,7108
1005,1,3087
1595,0,69
2118,0,665
2579,0,4560
6265,4,5918
2579,0,3566
374,3,6642
1423,1,2880
441,3,6519
345,3,6617
483,3,6530
2579,0,3726
276,3,6576
564,3,6673
649,3,6180
1599,0,7407
255,3,6649
270,3,6528
2030,1,3060
417,3,6641
1008,1,2856
583,3,6720
453,3,6344
2362,0,3330
2755,2,149
2579,0,5418
2997,2,634
1641,0,3230
1200,1,2951
303,3,6292
1756,0,3175
6953,4,6030
2579,0,5864
2596,1,3087
6311,4,3228
340,3,6942
642,3,6479
1260,1,2979
612,3,6197
2869,2,625
3038,2,94
6338,4,3244
6534,4,3229
1053,0,7340
1505,1,2883
823,0,7364
111,3,6405
626,3,6254
2114,0,7006
2579,0,5491
2026,1,2882
278,3,6235
1818,1,3105
1761,1,2880
539,3,6199
2579,0,4923
487,3,6794
1975,1,2856
2579,0,3852
2579,0,3722
704,0,3338
1790,0,5993
2568,1,2842
2984,2,98
6304,4,37
404,3,6564
2579,0,4749
641,3,6951
628,3,6866
2579,0,5826
380,3,6384
3110,2,644
568,3,6271
419,3,6409
2579,0,3757
835,0,7033
601,3,6344
2579,0,5620
6571,4,5918
303,3,6737
622,3,6529
199,3,6443
1192,0,3265
589,3,6285
261,3,6378
451,3,6518
2479,0,6029
1571,0,3285
1628,1,2856
1142,0,5904
2415,0,7466
2579,0,4332
2579,0,5861
465,3,6652
6374,4,71
2579,0,4545
107,3,6374
1447,1,2880
2804,2,555
1174,1,2704
2579,0,5850
2226,0,7364
296,3,6485
3065,2,190
1874,1,2880
1995,1,3056
6632,4,7108
330,3,6751
626,3,6421
2173,1,2979
2579,0,5568
277,3,6377
1554,0,3213
303,3,6958
277,3,6269
158,3,6520
149,3,6861
392,3,6509
1289,0,6076
618,3,6898
1227,0,6074
2579,0,4017
160,3,6753
813,1,3112
181,3,6377
593,3,6422
1560,1,2979
1264,0,72
2022,1,2979
234,3,6295
2579,0,5679
183,3,6507
2998,2,653
584,3,6898
6662,4,3156
555,3,6285
1293,1,3000
2579,0,3667
1140,0,5904
265,3,6675
342,3,6700
374,3,6925
1754,0,7216
6647,4,7106
451,3,6889
104,3,6782
2579,0,4617
6907,4,6030
1438,1,2894
2751,2,178
252,3,6409
2857,2,640
773,1,3087
1319,0,6031
356,3,6213
2456,0,6075
171,3,6598
2585,1,3062
335,3,6594
2535,1,3056
2579,0,4971
584,3,6290
6872,4,6030
2430,0,6163
1632,1,3087
2579,0,4808
2870,2,625
585,3,6175
303,3,6962
1455,0,5993
155,3,6258
107,3,6935
2579,0,4521
2357,1,3064
451,3,6816
259,3,6617
357,3,6507
516,3,6265
518,3,6706
901,0,7045
104,3,6945
1720,1,3092
6834,4,6030
489,3,6701
2579,0,5517
2922,2,631
2579,0,5629
2837,2,367
3000,2,176
2276,0,6075
565,3,6509
2579,0,5311
6747,4,7108
1549,1,3112
530,3,6935
164,3,6920
1060,0,3198
263,3,6213
2146,1,3064
2990,2,534
2579,0,3539
1888,1,2880
451,3,6946
6556,4,6087
417,3,6307
503,3,6693
1956,0,7271
6778,4,5917
2200,1,2942
2435,0,7162
334,3,6962
417,3,6493
6750,4,47
1037,1,2712
181,3,6307
157,3,6698
2579,0,4155
164,3,6197
2729,2,479
6354,4,22
2192,0,7478
608,3,6518
340,3,6956
577,3,6410
6791,4,47
2322,1,3088
272,3,6765
419,3,6442
1690,0,6101
483,3,6287
495,3,6736
2077,0,6061
6246,4,71
2579,0,3758
321,3,6206
2579,0,3591
2838,2,148
164,3,6618
409,3,6236
2579,0,5489
6785,4,5917
1289,1,2735
2045,1,3056
189,3,6753
1244,1,2713
2897,2,484
2579,0,5588
865,0,7312
474,3,6888
2235,1,2880
625,3,6467
6857,4,6030
2579,0,5655
180,3,6483
6747,4,3183
2591,0,7462
2821,2,613
2579,0,5862
522,3,6740
503,3,6898
641,3,6272
149,3,6410
457,3,6475
2019,1,3088
2579,0,5158
1617,1,2979
765,0,7466
971,0,3264
6350,4,22
636,3,6432
1792,1,2894
2984,2,489
1567,0,7205
470,3,6642
501,3,6420
6311,4,71
1451,1,2880
3041,2,651
6380,4,6087
2579,0,5036
204,3,6406
2579,0,5773
506,3,6200
2579,0,5206
510,3,6897
474,3,6281
321,3,6967
566,3,6410
455,3,6964
2881,2,534
2536,0,3124
417,3,6584
2579,0,4227
131,3,6942
155,3,6709
1625,0,6161
641,3,6889
1056,1,3060
2579,0,5715
1635,0,51
3041,2,639
6681,4,7106
1358,0,3264
1085,0,30
2809,2,132
1570,1,3087
132,3,6649
607,3,6745
107,3,6649
2579,0,5415
2528,1,2881
1993,1,3029
1867,1,2873
257,3,6669
388,3,6385
1323,1,3087
584,3,6627
1555,1,3112
2579,0,4222
412,3,6240
613,3,6912
215,3,6468
621,3,6438
2579,0,4058
276,3,6201
557,3,6743
6681,4,6037
1597,1,2856
570,3,6284
530,3,6554
1312,0,7013
489,3,6681
2894,2,331
516,3,6259
2579,0,4772
2856,2,636
634,3,6572
494,3,6635
2579,0,4707
2579,0,4723
333,3,6870
155,3,6512
626,3,6853
226,3,6767
6251,4,6089
169,3,6338
111,3,6706
3041,2,456
181,3,6479
494,3,6360
1897,0,5960
153,3,6860
634,3,6192
2910,2,200
2579,0,3775
178,3,6859
110,3,6764
2579,0,3639
2936,2,138
455,3,6180
573,3,6281
417,3,6207
2579,0,4993
2889,2,545
1946,1,2848
1953,1,2735
1619,1,2979
593,3,6654
485,3,6588
2847,2,240
592,3,6250
2579,0,4488
2579,0,5554
2579,0,4797
1887,1,2882
1469,0,7364
184,3,6612
2579,0,5308
146,3,6734
510,3,6495
417,3,6334
2579,0,3517
2463,0,3150
556,3,6479
467,3,6551
417,3,6266
221,3,6500
2579,0,5798
2579,0,3643
2847,2,266
6341,4,5917
2848,2,167
181,3,6935
6275,4,3183
615,3,6438
278,3,6377
437,3,6359
358,3,6860
120,3,6918
6548,4,3183
514,3,6601
1637,0,6091
1059,1,3012
2579,0,4979
273,3,6229
264,3,6764
2579,0,5787
6265,4,3183
1798,1,2880
298,3,6271
1952,1,3062
340,3,6570
276,3,6675
2757,2,393
334,3,6453
2797,2,479
2579,0,4254
487,3,6414
382,3,6704
622,3,6478
361,3,6216
258,3,6473
2000,0,3397
2579,0,3588
1319,1,2923
109,3,6400
2579,0,5860
2930,2,260
2444,0,7454
287,3,6319
307,3,6905
2579,0,5316
2579,0,5753
1972,0,5908
584,3,6180
6749,4,5918
2980,2,384
342,3,6861
2917,2,633
248,3,6331
2579,0,3528
337,3,6195
6712,4,5905
1919,1,2880
2872,2,578
2869,2,584
2579,0,5514
2579,0,5233
1708,1,3064
800,1,3049
451,3,6471
2194,1,2986
2579,0,5460
2579,0,3460
2457,0,6078
622,3,6476
2579,0,3988
493,3,6528
2340,1,2848
474,3,6900
6714,4,7108
2695,2,232
6284,4,6037
2579,0,5638
1529,1,3087
581,3,6822
1776,1,2894
2579,0,4400
2579,0,3423
568,3,6755
2579,0,4499
6442,4,5905
6521,4,7108
336,3,6378
615,3,6264
356,3,6865
417,3,6593
1794,1,2894
593,3,6649
1915,0,5978
562,3,6437
1406,0,5965
388,3,6903
6304,4,3183
2251,1,3066
279,3,6675
556,3,6944
336,3,6594
2408,1,2856
735,0,3140
357,3,6509
3003,2,220
523,3,6528
2624,0,6997
1346,0,6007
6704,4,6037
1025,1,2847
119,3,6434
2579,0,4407
1906,0,5996
2579,0,4710
437,3,6918
612,3,6847
261,3,6490
1680,1,2929
1778,1,2923
884,0,7062
2375,0,7216
469,3,6497
454,3,6399
97,3,6814
1527,0,3322
1812,1,2880
1883,1,2873
268,3,6406
2579,0,5312
1000,1,3062
2579,0,4039
2579,0,5390
2691,2,561
486,3,6746
268,3,6764
2579,0,5874
465,3,6203
1138,0,5902
6424,4,3145
2404,0,7339
2579,0,5150
2579,0,3687
2579,0,5641
2743,2,611
2121,1,2979
118,3,6323
508,3,6324
222,3,6348
3030,2,408
1149,1,3038
2130,1,3087
2579,0,4751
2579,0,4290
1554,1,2979
6548,4,3228
377,3,6866
